TCGA.2W.A8YY.01,TCGA.4J.AA1J.01,TCGA.BI.A0VR.01,TCGA.BI.A0VS.01,TCGA.BI.A20A.01,TCGA.C5.A0TN.01,TCGA.C5.A1BE.01,TCGA.C5.A1BF.01,TCGA.C5.A1BI.01,TCGA.C5.A1BJ.01,TCGA.C5.A1BK.01,TCGA.C5.A1BL.01,TCGA.C5.A1BM.01
0.064735631,0.66853289,0.028774176,0.399487934,-1.795936658,0.885633522,0.387944752,0.264521488,0.188602862,0.172619994,0.194374454,-0.298874631,0.20813748
-0.256740105,-1.439521327,0.018634293,-0.395104084,-0.168936646,-0.683818422,-0.313432628,-0.760742849,0.580819096,0.076665448,0.17494472,-0.308119336,0.434792411
-0.073202084,0.673991975,0.495647703,0.688887546,1.922401876,0.736794924,0.094272446,0.366418558,0.012548096,-0.109837138,-0.016035298,0.103934438,-0.007581054
-0.587209192,-0.933604198,-0.577761053,0.153151605,1.080595052,1.127150893,-0.14803946,0.407050946,0.823046002,0.764176412,0.667193635,-0.047898132,0.193639738
-0.129582534,1.731087584,-0.170536837,-0.474332188,1.51898097,0.746350541,0.185826724,0.317247248,0.103918118,0.041569777,-0.026279889,-0.089850747,0.069076398
-0.995514686,-1.613162927,-0.346677412,0.669144493,0.294531213,-0.097752903,-0.323502758,-0.081569117,1.109937371,0.596315661,0.819742416,0.770089095,-0.107634281
0.371012982,0.616562739,-0.466487082,-0.266100941,0.797217203,-2.109478044,0.599461952,0.626209336,0.449939689,0.447308799,0.342073189,0.510450165,0.544651738
-0.541517257,-0.151077107,-0.532752107,0.979387775,0.50976932,0.606668662,-0.270181135,-0.222476422,0.509599645,0.187018904,-0.358613282,-1.588455339,0.455214
0.702271628,2.151782117,0.140155357,0.041822484,-0.845271939,6.365105884,-0.522692149,-0.952298877,0.765528445,-0.338617807,-0.261570404,-0.91152671,-0.87675045
-1.733217067,-0.591319295,-0.602379982,-0.47768775,0.487434048,0.086571316,0.112896883,-0.116229661,0.270314513,-0.603026268,0.00110965,0.545349491,-0.212676397
0.249014446,0.444491713,0.135282218,-0.291213637,0.484919966,-2.453014502,0.385404266,0.377851735,0.225912587,-0.025542261,0.192592598,2.700032812,0.2854443
-0.187961055,-0.25610664,-0.233202161,-0.126172715,-0.138447103,-0.160950115,-0.207876173,-0.249149894,0.230703522,-0.231555303,-0.223137814,-0.263092373,-0.163592987
0.018572689,-3.935066919,-0.092823162,-0.366747384,1.743686568,0.939566796,0.290670749,0.421545656,0.237103346,0.109880763,0.083705781,-2.202039673,0.083097061
-0.768350975,-0.963037033,0.439942129,0.375317999,1.08773341,1.021930335,0.038589955,-0.058689251,0.758504683,0.539902754,0.306072814,0.495156578,0.548310753
-0.021849182,-2.775186958,-0.009612126,-0.291908367,1.087925278,0.61447777,0.183648978,0.286187075,0.121619759,-0.110462352,0.049463321,0.043977744,0.136388621
-1.612742747,-1.370171409,-0.449086797,-0.565382083,0.445116682,-0.34225713,-0.196759146,1.151983392,0.480694286,0.32013427,0.673183175,-0.339629639,-0.463859484
-0.240248639,0.220895347,-0.212707115,0.050349754,-0.558035459,0.36354632,-0.013207611,0.031988737,-0.136085181,-0.188696555,-0.013207611,-0.210235439,-0.072174721
-1.022037928,0.191113714,-0.039508936,0.101004794,-0.276803949,-0.212786589,0.337648559,0.565738971,-0.462813408,-0.020969706,0.390754062,-0.617138371,-0.641537958
-0.068881679,0.155221666,-0.008827842,-0.406257304,-0.735332805,0.820696307,0.249452485,0.286558921,0.052690724,0.395437017,0.033161021,0.095656071,0.097609042
-0.189671306,-2.828682466,0.546347098,0.027078497,0.994070283,-0.849766606,-0.255165763,-0.448278357,0.367268672,-0.771462438,0.461862963,0.261911586,0.281494723
-0.256774906,2.421527919,-0.294028341,-0.656044072,1.013348083,0.377848313,-0.043334639,0.063166357,-0.145452878,-0.204181822,-0.182706313,-0.188403897,-0.092421518
0.528323651,0.613568782,-0.023824277,0.366676243,0.95631788,-1.384562954,-0.888301877,0.892649317,0.110587134,-0.644592766,-0.580570489,-1.343178388,0.763897334
4.417351709,-0.27822416,-0.235951547,3.105628256,1.17718629,0.052718418,-0.15723601,-0.199443936,-0.065401948,-0.147734251,-0.101192485,-0.072864651,-0.162949766
0.64809587,0.838438051,-0.015482377,-0.634705657,-1.092574647,-1.522852753,-0.948333692,-1.390835607,-0.229224423,0.649842128,-0.572009279,0.560084439,0.766841451
0.396912327,0.372280167,0.248508278,0.523927999,0.404495329,0.327125601,0.033688329,0.252188437,-0.809758384,0.294957765,0.059595607,0.273558891,0.18276349
-0.081131593,0.229531814,-0.209265138,-0.719381705,0.538382011,3.999800944,0.224696586,0.29238978,0.035518286,0.045188742,-0.036405733,1.733287761,0.134036059
-0.155652359,0.474866246,-0.117995046,0.241680575,-0.59015982,0.669911817,0.154779083,0.216575699,0.0813956,-0.222276837,-0.008402608,-0.159514648,0.084292317
0.281096899,0.046206626,-1.002068578,-0.77634001,-0.837002162,-1.752275378,-0.775371689,1.424710377,0.071400169,-0.424030033,-0.278773512,-0.331931764,0.568077623
-0.101053618,-0.059451935,-0.093962422,-0.427721381,-0.746352454,0.760290322,0.207177034,0.243105761,0.016660235,0.348528208,-0.093962422,1.790877474,-0.015013774
-0.208659883,-1.023324906,-0.510032998,-0.19174975,0.745564525,-0.44453774,0.810482309,0.540306011,1.273990564,-0.055260666,-0.63263885,-1.097822579,0.659740922
-0.167542229,2.115340737,-0.130498459,0.22331704,-0.594970348,0.644571198,0.137831416,0.198621193,0.065643556,-0.233081207,-0.022691589,-0.17134159,0.068493077
0.281096899,0.046206626,-1.002068578,-0.77634001,-0.837002162,-1.752275378,-0.775371689,1.424710377,0.071400169,-0.424030033,-0.278773512,-0.331931764,0.568077623
-0.220860781,0.221095201,-0.172434873,-0.323278792,0.320730113,1.009268588,0.025165093,-3.388583061,-0.132358261,-0.106753758,-0.194699658,-0.02938363,2.183179375
-2.188737492,-0.952914285,-0.007117701,0.389727821,0.373197264,0.103712556,-0.843362453,1.142730142,-0.315556704,0.036173757,-0.842382339,-1.008262734,-0.464775238
-0.220674683,2.35996342,-0.256569666,-0.605384438,1.003133077,0.390806903,-0.015017548,0.087599873,-0.113412029,-0.169999414,-0.149307012,-0.154796833,-0.062314466
-0.18651929,-0.474391026,-1.01848387,-1.192192992,1.957396058,-1.172734473,-1.221780579,-0.110958918,-0.988269576,-1.084965452,-1.111189111,0.423313642,0.17107656
-0.255012691,2.324237135,-0.290888364,-0.639515488,0.968136711,0.356139943,-0.04946619,0.053096027,-0.14780774,-0.204364683,-0.183683413,-0.18917028,-0.096737665
-0.829832315,1.518994161,0.883558169,-0.798374643,-0.851914436,0.853745066,-0.994832815,0.186626511,0.839172913,0.364773993,0.306560924,0.018866707,0.454781218
0.415683733,0.458992691,0.416417783,0.23877765,-0.097784337,0.699027086,1.774410537,-1.552671709,0.545243582,0.454955416,0.734628518,0.474774769,0.497163298
-1.015198681,-0.624122689,-0.401130277,-0.012666842,1.91424372,2.532144483,2.256983788,2.47673264,1.812481296,1.944027491,0.604687843,0.376117348,1.854079627
-0.264864896,2.257806618,-0.299953601,-0.640933256,0.931453554,0.332881521,-0.063827254,0.036485162,-0.160011588,-0.2153279,-0.195100293,-0.200466801,-0.110061784
-1.700835449,0.499520507,-0.252555847,-0.637239835,-0.593478711,1.251079641,-0.671141154,0.681776805,0.736047523,0.854531844,0.236000276,0.242414688,1.083824639
-0.268903021,2.301604896,-0.3046571,-0.652102614,0.950100733,0.34017822,-0.064053184,0.038161417,-0.162061422,-0.218426675,-0.197815501,-0.203283772,-0.11116444
-2.649625857,0.16115653,-0.369239777,-1.760021337,-1.042189183,1.04855195,-1.222846458,0.807397257,0.169118382,0.358696515,0.483433684,-0.656850525,0.588413576
0.100492179,0.250288914,-0.087848746,-0.489496718,0.329567304,-2.581394988,0.187654607,0.190720622,0.05800597,0.409283695,0.019899783,1.174911454,0.136408355
-1.212348494,0.310268653,-0.090777776,-1.205673143,0.740918056,-1.188082962,0.862019614,-1.175851311,-0.527104591,-0.924039534,0.582041039,1.133495276,-0.958039705
-0.759160037,0.021918646,-0.109343389,-1.207677308,-0.345893347,0.162920973,-0.549511839,1.344743112,0.367467112,-0.136708973,0.479712386,0.846596732,1.171273143
-0.749548959,-0.788986841,0.1305789,0.080479594,0.990002364,1.078690176,0.556924455,1.071859266,1.04361039,0.603756364,-0.424094339,-0.509564302,1.002235234
0.158068735,0.484260561,-0.029941042,0.108241007,1.480815115,1.303592784,0.303442415,0.372790283,-1.117418357,0.10515888,0.163205614,0.107727319,0.263888445
-2.953946522,0.22556641,0.05449548,0.0433986,-0.285962606,0.760773114,0.134695281,0.692401105,-0.63330676,0.456188077,0.336409077,-1.053770769,0.750533506
0.101007847,0.250831495,-0.087366916,-0.489087048,0.330124127,-2.581361152,0.188185934,0.1912525,0.058514005,0.409854841,0.020400972,1.175620153,0.136930476
