ap,p,t,B,lfc
0.996,0.007627,3.3278183,-3.88,0.9097906
0.996,0.007656,-3.3255781,-3.89,-0.79666432
0.996,0.007672,-3.3243182,-3.89,-1.6043482
0.996,0.007681,-3.3236408,-3.89,-0.47628006
0.996,0.007716,3.3209125,-3.89,1.10684026
0.996,0.007764,-3.3172821,-3.89,-0.4974159
0.996,0.007828,-3.3124045,-3.89,-0.68132054
0.996,0.007848,3.3109093,-3.89,0.65184264
0.996,0.007856,3.310316,-3.89,0.63123352
0.996,0.007871,3.3091826,-3.89,0.47270616
0.996,0.007915,-3.3058438,-3.89,-0.8096852
0.996,0.007986,3.3005545,-3.89,0.84859444
0.996,0.007995,3.2999053,-3.89,0.5197614
0.996,0.007995,-3.2998941,-3.89,-0.8130353
0.996,0.008003,-3.2992823,-3.89,-0.92759818
0.996,0.008037,-3.2967764,-3.89,-0.7636459
0.996,0.00805,3.2958624,-3.89,0.54815002
0.996,0.008064,3.2948005,-3.89,0.54246958
0.996,0.008076,3.2939453,-3.89,0.88913952
0.996,0.008077,3.2938445,-3.89,1.0811639
0.996,0.008088,-3.2930941,-3.89,-0.57385054
0.996,0.008091,-3.2928439,-3.89,-0.59527544
0.996,0.008107,-3.2916772,-3.89,-0.97300336
0.996,0.008148,3.2886688,-3.9,0.6511448
0.996,0.008159,3.2878978,-3.9,0.33836966
0.996,0.008183,-3.2861887,-3.9,-1.04656778
0.996,0.008188,3.2858366,-3.9,0.80929648
0.996,0.008218,3.2836315,-3.9,0.36063722
0.996,0.008264,3.280306,-3.9,0.47007834
0.996,0.00827,3.279944,-3.9,0.35326026
0.996,0.008271,-3.2798404,-3.9,-1.09632138
0.996,0.008307,-3.2772473,-3.9,-0.72717244
0.996,0.008309,-3.2771425,-3.9,-0.32169944
0.996,0.008332,-3.2754684,-3.9,-0.4492407
0.996,0.008367,3.2730342,-3.9,0.59189004
0.996,0.008376,3.2723747,-3.9,0.41569802
0.996,0.008477,3.2652901,-3.9,2.13895556
0.996,0.008513,3.262831,-3.9,0.47626018
0.996,0.008536,3.2612078,-3.9,0.65434126
0.996,0.008541,3.2608614,-3.9,0.6543335
0.996,0.008605,3.256434,-3.9,0.56409198
0.996,0.008624,-3.2551882,-3.9,-1.1228381
0.996,0.008696,-3.2502523,-3.91,-0.54602004
0.996,0.008697,3.2502089,-3.91,0.35782248
0.996,0.00874,3.2472824,-3.91,1.16289204
0.996,0.00875,-3.2466089,-3.91,-0.72603002
0.996,0.008768,3.2454185,-3.91,0.40373818
0.996,0.008853,-3.2397174,-3.91,-0.8226547
0.996,0.008873,3.2383554,-3.91,0.4008553
0.996,0.008905,-3.2362283,-3.91,-0.5414423
0.996,0.008945,-3.2335683,-3.91,-0.89217424
0.996,0.008955,3.2329507,-3.91,0.45030704
0.996,0.008989,3.2306722,-3.91,0.49370804
0.996,0.008998,-3.23013,-3.91,-0.38690388
0.996,0.009083,-3.2245658,-3.91,-0.33574212
0.996,0.009093,3.2239022,-3.91,0.46333774
0.996,0.009103,3.2232869,-3.91,0.4651222
0.996,0.009137,3.2210509,-3.91,0.35562424
0.996,0.009144,3.2206096,-3.91,0.60801798
0.996,0.00915,3.2202567,-3.91,0.6913185
0.996,0.009153,3.2200167,-3.91,0.70648562
0.996,0.009155,3.2199377,-3.91,0.63868096
0.996,0.009187,3.2178828,-3.92,0.56414606
0.996,0.009259,-3.2132748,-3.92,-0.98298574
0.996,0.009259,3.2132439,-3.92,0.35292952
0.996,0.009278,3.2120326,-3.92,0.84106456
0.996,0.009315,-3.2096911,-3.92,-1.10040826
0.996,0.009336,3.208381,-3.92,0.6564409
0.996,0.009344,3.207859,-3.92,0.46895988
0.996,0.009359,-3.2069609,-3.92,-0.67871306
0.996,0.009359,3.2069309,-3.92,0.602837
0.996,0.009363,3.2066795,-3.92,0.35655696
0.996,0.009366,3.2065198,-3.92,0.4454962
0.996,0.009445,-3.2015241,-3.92,-0.77550768
0.996,0.009484,-3.1991357,-3.92,-0.63859616
0.996,0.009533,-3.1960813,-3.92,-1.39020386
0.996,0.009607,-3.1915462,-3.92,-0.66264986
0.996,0.009632,-3.1900076,-3.92,-0.94291534
0.996,0.009649,3.1889734,-3.92,0.6689674
0.996,0.009738,3.1835833,-3.92,0.52360336
0.996,0.00974,3.1834419,-3.92,0.52880564
0.996,0.009744,3.1831948,-3.92,0.63134442
0.996,0.009765,-3.1819175,-3.93,-0.7610238
0.996,0.009775,3.1813581,-3.93,0.407795
0.996,0.009789,-3.1805077,-3.93,-1.03637002
0.996,0.00979,-3.1804308,-3.93,-0.8900386
0.996,0.009793,3.1802613,-3.93,1.4545638
0.996,0.009822,3.1785061,-3.93,0.5793102
0.996,0.009823,3.1784628,-3.93,0.6177232
0.996,0.009825,3.1783465,-3.93,0.7679634
0.996,0.009855,-3.1765341,-3.93,-0.77057506
0.996,0.009863,-3.1760707,-3.93,-1.12890026
0.996,0.009865,-3.1759338,-3.93,-0.68785916
0.996,0.009879,3.175085,-3.93,0.9899926
0.996,0.009891,3.1743977,-3.93,0.6421941
0.996,0.009907,3.17345,-3.93,0.6272907
0.996,0.00993,-3.1720695,-3.93,-2.42416638
0.996,0.010013,3.1671757,-3.93,1.1527201
0.996,0.01002,-3.1667942,-3.93,-1.56362376
0.996,0.010053,3.1648411,-3.93,0.37450026
0.996,0.010057,-3.1646062,-3.93,-0.54090278
0.996,0.010063,-3.1642245,-3.93,-1.32487878
0.996,0.010128,3.1604457,-3.93,0.49056646
0.996,0.010148,-3.1592961,-3.93,-0.7312775
0.996,0.010161,3.158535,-3.93,0.78586872
